Gene;(Intercept);Selection;WNL-NL;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117901040;0;7.20E-14;-236.4313287;1581.374759;1737.947723;1516.94835;1294.41823;1540.33892;1292.219695;1375.658948;1612.090277;0.853338655;1369.000273;1346.282196;1460.060011;1793.60078;1625.632833;1519.448073;1646.227228;1391.780827;1.182820741
gene-LOC117901747;0;8.74E-14;-295.1986175;2467.725549;2609.263832;2405.430863;2230.760401;2242.155296;2123.908694;2198.941464;2494.140081;0.881643128;2644.961693;1999.933685;3018.499381;2812.378991;2724.825265;2786.765508;2774.656588;2554.46492;1.086198744
gene-LOC117897848;0;1.04E-13;-613.0585002;10462.4535;11173.45797;9753.391469;9893.588054;10640.44183;9016.09755;9850.042479;10463.10098;0.941407571;11861.84968;9456.957784;12888.61539;13510.76593;12572.19066;13185.21058;13089.38906;11402.47428;1.14794287
gene-LOC117896543;0;1.10E-13;-447.2164467;5610.951922;5656.059516;5702.6636;5310.214505;5193.092889;5124.718304;5209.341899;5656.558346;0.920938419;7307.779042;6055.771212;7860.234909;7223.032152;6769.059504;7393.980862;7128.69084;7074.595054;1.007646485
gene-LOC117892373;0;1.40E-13;-395.098749;4174.048437;4840.02045;4407.006038;3901.425713;4369.372923;3964.980042;4078.592893;4473.691642;0.911683956;4773.980654;3991.871633;5126.759838;4915.584605;5298.428872;5553.538277;5255.850585;4630.870708;1.134959474
gene-LOC117902041;0;1.50E-13;-314.3637299;2254.923267;3357.846166;2998.490174;2070.427837;2954.420552;2643.320028;2556.056139;2870.419869;0.890481621;2748.875218;2627.599029;3048.840678;3168.991889;3175.654836;3191.063094;3178.56994;2808.438309;1.131792687
gene-LOC117890167;0;2.10E-13;-142.7719645;511.5064034;687.6838968;707.0240668;423.2779678;526.7976522;527.8228537;492.6328245;635.404789;0.775305495;727.3946731;845.5491741;1055.509378;662.1653129;646.4725916;783.0488971;697.2289338;876.1510752;0.795786199
gene-LOC117897851;0;2.14E-13;-304.6153833;1740.488392;2414.388831;1677.384171;1528.503772;1945.232983;1444.678488;1639.471748;1944.087131;0.843311867;1829.361354;1482.209722;1991.492433;2371.475772;1940.36291;1991.498826;2101.112503;1767.687837;1.188621916
gene-LOC117891457;0;2.80E-13;715.4577202;2671.742416;4868.127422;6171.80007;3002.494473;5458.668564;7396.880031;5286.014356;4570.556636;1.156536233;3783.177278;4685.501806;5189.281299;3256.524146;4236.096718;5401.371328;4297.997398;4552.653461;0.944064255
gene-LOC117900060;0;2.86E-13;295.368424;1432.998855;1069.001807;1468.264377;1651.425404;1316.55876;1888.386146;1618.790104;1323.42168;1.22318542;1344.834338;1514.19267;1293.642592;1198.705628;1163.461638;1176.239407;1179.468891;1384.2232;0.85207999
gene-LOC117900823;0;2.86E-13;327.6798392;2576.079005;3024.310107;2964.190102;2858.195166;3439.422688;3250.000878;3182.539577;2854.859738;1.114779663;2913.203583;2923.441293;2968.849985;2945.298344;3442.18301;3017.7927;3135.091351;2935.164954;1.068114195
gene-LOC117891695;0;2.95E-13;337.132004;1822.485602;1306.037264;1758.155308;2311.995566;1486.353045;2099.725575;1966.024729;1628.892725;1.206970047;2032.355216;2394.723193;2030.10863;1963.802391;1747.555295;1872.653107;1861.336931;2152.39568;0.864774515
gene-LOC117894106;0;3.05E-13;-195.9750079;1219.220416;1263.876808;1052.237696;1011.164034;1030.956066;905.2897948;982.4699651;1178.444973;0.833700332;1366.58368;876.5326544;1379.149885;1727.141104;1224.895437;1322.852818;1424.963119;1207.422073;1.180169844
gene-LOC117890775;0;3.09E-13;-280.2463826;2380.847553;2561.481981;2118.859292;2170.90291;2191.652381;1857.894387;2073.483226;2353.729609;0.880935184;2643.753397;1994.936349;2695.778308;3029.588665;2764.520951;2768.994185;2854.367934;2444.822685;1.167515318
gene-LOC117890150;0;3.16E-13;345.8209503;521.267976;981.8701959;1062.195781;825.1782604;1414.952372;1362.666172;1200.932268;855.1113177;1.404416294;1080.217338;2117.870804;1754.278653;1138.729822;1893.106142;2312.493339;1781.443101;1650.788932;1.079146502
