Gene;(Intercept);Selection;WNL-NL;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117893852;0;2.35E-07;1470.306973;7602.312729;6298.772259;9448.010182;8336.22442;7906.318482;11517.47319;9253.338696;7783.031723;1.188911857;6557.426729;8508.463497;5605.784564;5940.846687;5543.218932;5741.247871;5741.771163;6890.558264;0.833280983
gene-LOC117898436;0;2.36E-07;141.4637923;1284.622952;687.6838968;1181.692806;1415.202094;834.1688443;1329.020094;1192.797011;1051.333218;1.13455657;947.3046906;1356.276867;904.7223243;904.4999868;788.2428967;911.8909851;868.2112895;1069.434627;0.811841386
gene-LOC117896332;0;2.47E-07;705.1418428;8250.481149;9190.979601;9861.823955;9216.984636;9659.988683;10541.73691;9806.236744;9101.094902;1.077478792;9032.018574;10332.49097;9918.84597;8879.66116;9632.819669;9349.937044;9287.472624;9761.118505;0.95147627
gene-LOC117891463;0;2.55E-07;210.6692686;563.2427381;642.7127427;688.2143498;705.4632796;787.1488885;1033.565468;842.0592122;631.3899436;1.333659525;710.4785179;855.5438452;770.4850689;727.0040216;702.2355783;1079.607841;836.2824803;778.8358107;1.073759667
gene-LOC117901467;0;2.57E-07;-1223.830305;8786.391483;8484.557723;7257.231383;8045.488039;6913.674972;5897.526666;6952.229892;8176.060197;0.850315399;11552.5257;8881.264729;11788.97321;12815.37078;12714.9061;12228.89129;12586.38939;10740.92121;1.171816564
gene-LOC117890402;0;2.61E-07;-272.5849293;2134.855924;2642.992197;2618.976473;2010.570347;2264.794534;2303.704925;2193.023269;2465.608198;0.889445156;2696.918456;2448.694417;2676.470209;2745.919315;3028.213718;2750.112155;2841.415063;2607.361027;1.089766639
gene-LOC117896343;0;2.65E-07;-79.37861181;369.963601;411.2986794;388.3653325;302.4941032;353.5204079;275.4772662;310.4972591;389.8758709;0.796400296;404.7794277;304.8374682;393.5174337;521.9516053;406.4082082;408.7404172;445.7000769;367.7114432;1.212091941
gene-LOC117894044;0;2.77E-07;118.2627371;471.4839558;257.6472365;314.2329186;563.3017399;390.0914846;444.7590978;466.0507741;347.788037;1.340042568;532.8588884;484.7415478;424.7781645;466.028219;405.4630728;353.2050344;408.2321087;480.7928669;0.849081043
gene-LOC117900720;0;2.79E-07;-193.862032;1387.119464;1784.792675;1639.764737;1283.729392;1584.746656;1361.614732;1410.03026;1603.892292;0.879130268;1499.496328;1366.271538;1611.766498;1592.600783;1633.193916;1667.172191;1630.988963;1492.511455;1.092781538
gene-LOC117898908;0;3.05E-07;-195.2761287;1228.981988;918.1610611;1030.108617;971.6153351;828.0736648;791.7342805;863.8077601;1059.083889;0.815617884;1265.086749;1000.466576;1344.211421;1373.770141;1174.803262;1319.520695;1289.364699;1203.254915;1.071564041
gene-LOC117890974;0;3.42E-07;68.82528579;258.6816735;197.6856978;253.3779519;313.1829408;245.5486577;357.4895822;305.4070602;236.5817744;1.290915418;402.3628341;424.7735213;365.0150028;348.5080594;358.2063044;328.769466;345.1612766;397.3837861;0.868584197
gene-LOC117894098;0;3.50E-07;-446.2516981;5181.442728;5558.622016;5696.024876;4761.877137;5285.39132;5050.066068;5032.444842;5478.69654;0.918547834;6151.439005;5096.282788;5620.495496;6690.544257;6613.112168;6736.44193;6680.032785;5622.739096;1.188038903
gene-LOC117890035;0;3.62E-07;548.6330235;2341.801263;3057.101574;3324.894086;2623.04074;3913.105205;3833.550049;3456.565331;2907.932307;1.188667742;3005.03414;3141.325123;2868.63176;2959.887053;3941.214484;3269.923338;3390.341625;3004.997008;1.128234609
gene-LOC117902225;0;3.64E-07;-192.4995244;1983.551549;2523.06912;2221.759509;1779.691455;2263.053055;2108.137095;2050.293868;2242.793393;0.914169747;2682.418894;2327.758896;2827.257263;2825.346733;2592.506314;2905.611227;2774.488091;2612.478351;1.062013811
gene-LOC117892345;0;3.76E-07;211.1944146;2166.092957;2310.393037;2976.361095;2428.503896;2466.806196;3191.120241;2695.476778;2484.282363;1.085012242;2577.297073;3639.059743;2356.507436;2489.806415;3174.7097;3043.338976;2902.618364;2857.621417;1.015746294
gene-LOC117892932;0;3.78E-07;-162.7619039;1678.990485;1649.879213;1531.332251;1558.432518;1480.257866;1333.225853;1457.305412;1620.067316;0.899533864;2143.518522;1918.976849;2114.69649;1990.548358;1865.697216;2203.643988;2019.963187;2059.063953;0.981010417
gene-LOC117902995;0;3.97E-07;-212.5122737;2346.682049;2895.954938;2976.361095;2150.594119;2598.287924;2832.579219;2527.153754;2739.666028;0.922431321;4092.501259;2656.583575;3569.239901;3865.197524;3476.207883;3494.286284;3611.89723;3439.441579;1.050140596
gene-LOC117889850;0;3.99E-07;78.23471208;303.5849074;285.7542078;360.703984;378.38485;350.0374482;456.3249372;394.9157451;316.6810331;1.247045778;413.2375053;697.628042;517.6409234;476.5645091;488.6349851;467.6079229;477.6024724;542.8354902;0.879829121
gene-LOC117899768;1.03E-257;4.12E-07;154.6713652;272.3478751;457.2067324;520.0333512;333.4917322;711.3945154;668.7158066;571.2006847;416.5293196;1.37133368;419.2789893;414.7788502;338.3514384;261.7862865;363.8771166;378.7513105;334.8049045;390.8030926;0.856709967
gene-LOC117896644;1.32E-206;4.14E-07;44.47682241;130.8050726;59.02463964;86.30340721;182.7791224;107.9717502;118.8127141;136.5211956;92.04437316;1.483210661;126.8711639;84.95470425;74.47409377;64.02822487;67.10461111;62.19962871;64.4441549;95.43332065;0.675279394
gene-LOC117892595;0;4.36E-07;50.65990944;108.3534557;133.0396639;130.5615648;192.3990763;170.6650245;160.870312;174.6448042;123.9848948;1.408597431;94.24715034;126.9323228;148.9481875;106.1733855;130.4286808;114.4028885;117.0016516;123.3758869;0.948334837
gene-LOC117896798;5.06E-59;4.40E-07;242.1524241;153.2566896;335.409857;612.975482;205.2256813;478.9069565;1143.966663;609.3664336;367.2140095;1.659431334;170.3698487;364.8054947;253.7635788;145.0766108;399.7922606;276.5662062;273.8116925;262.9796407;1.041189697
gene-LOC117895495;0;4.43E-07;-1160.271251;6839.93391;8331.84318;8163.417159;6056.295367;7371.684171;6426.400959;6618.126832;7778.398083;0.850834164;7793.514355;7212.154657;8581.990015;8494.681327;9578.001817;9623.171127;9231.951424;7862.553009;1.174167146
gene-LOC117892058;0;4.45E-07;14135.83821;98542.09908;87549.46787;108512.1507;107213.3164;106654.3207;123143.5952;112337.0774;98201.23921;1.143947656;80519.6904;107305.7872;98228.57138;86233.05116;90053.44298;84206.07948;86830.85787;95351.34966;0.910641099
gene-LOC117894070;0;4.48E-07;139.8222164;616.9313873;540.5907472;736.8983231;692.6366745;653.9256806;967.3247517;771.2957023;631.4734859;1.221422149;390.2798661;464.7522056;451.4417289;412.5362843;488.6349851;469.8293383;457.0002026;435.4912669;1.049390051
gene-LOC117903682;0;4.49E-07;233.1858638;1965.980719;1381.926087;1898.674959;2114.252071;1578.651477;2253.235808;1982.046452;1748.860588;1.133335879;2141.101928;2752.532418;2442.934162;2195.600774;2083.078351;2329.153953;2202.611026;2445.522836;0.900670807
gene-LOC117895067;0;4.72E-07;455.9478162;2906.996316;3180.772247;3384.642598;3555.107376;3482.088944;3803.05829;3613.418203;3157.470387;1.14440288;4684.566691;5028.319025;4622.910413;3801.979783;4530.978953;4156.268047;4163.075594;4778.598709;0.871191713
gene-LOC117898508;0;4.77E-07;-278.9576454;2354.491307;2007.774647;2291.466107;2106.769885;1831.166054;1878.923186;1938.953042;2217.910687;0.874225032;2752.500109;1979.944343;2727.039038;3348.919306;2544.30441;2790.097631;2894.440449;2486.494497;1.164064691
gene-LOC117890021;0;4.99E-07;8920.881093;43349.19153;58437.20394;62284.50511;47021.26535;71598.33148;72213.94704;63611.18129;54690.3002;1.163116331;48484.11736;54234.08373;51201.39918;49577.29766;58082.34889;52253.24165;53304.29607;51306.53342;1.038937783
gene-LOC117899070;0;5.14E-07;296.2523324;1082.5584;1234.832937;1388.599693;1201.425343;1624.800692;1768.521992;1531.582676;1235.330343;1.239816284;1092.300306;1120.402629;1228.362831;985.5483727;1320.354109;1145.139593;1150.347358;1147.021922;1.002899191
gene-LOC117900217;0;5.18E-07;-277.6729714;3597.139497;4352.832949;3152.287271;3286.817553;3942.710362;3039.712888;3423.080268;3700.753239;0.924968526;3826.675963;3275.253716;4272.606342;4394.443484;3926.092318;4195.142815;4171.892872;3791.512007;1.10032432
gene-LOC117896101;0;5.23E-07;-411.8133607;2540.937344;3174.213954;2960.87074;2354.750917;2624.410122;2461.420917;2480.193985;2892.007346;0.857602934;2863.663414;2840.485523;3277.779559;3175.47576;3540.477088;3193.284509;3303.079119;2993.976165;1.103241621
gene-LOC117891430;0;5.23E-07;113.0370424;362.1543429;446.900843;428.1976743;429.6912703;630.4157028;516.2570142;525.4546624;412.41762;1.274083931;691.1457691;975.4798982;399.9534665;376.8749945;701.2904429;548.6895818;542.2850064;688.8597113;0.787221255
gene-LOC117897150;0;5.34E-07;528.5113804;1328.550029;1271.372;1212.673517;1524.228237;1892.988588;1980.912861;1799.376562;1270.865182;1.415867385;949.7212842;1329.291255;683.1389095;574.6330561;1106.753516;770.8311129;817.4058949;987.3838161;0.827850205
gene-LOC117893465;9.33E-206;5.39E-07;36.22637839;44.90323389;74.95192335;56.42915087;73.75297923;132.352468;78.85799606;94.98781443;58.76143604;1.616499201;95.45544714;64.96536207;60.68259492;40.52419295;49.14703913;45.53901387;45.07008198;73.70113471;0.61152494
gene-LOC117899651;0;5.47E-07;-163.9280102;1488.639819;1974.046281;1598.825941;1355.344604;1767.60204;1446.781368;1523.24267;1687.170681;0.902838514;1753.238656;1385.261413;1977.700935;1956.508036;1727.707452;1919.302829;1867.839439;1705.400334;1.095249837
gene-LOC117895580;0;5.49E-07;163.8606781;1775.630053;1239.517432;1528.012889;1984.917137;1349.646877;1700.178395;1678.24747;1514.386792;1.108202659;2000.939499;2314.765824;2039.302963;1672.028201;1974.387783;2020.377225;1888.93107;2118.336095;0.891705086
gene-LOC117899640;0;5.62E-07;-195.7983312;1264.12365;1253.570918;1012.405354;1092.3992;958.684653;891.6210755;980.9016427;1176.699974;0.833603862;1625.159195;1197.361596;1541.889571;1633.124976;1498.984693;1465.023398;1532.377689;1454.803454;1.053322828
gene-LOC117899981;0;5.63E-07;-480.0512472;1842.984904;2199.83895;2160.904542;1658.907591;1490.706745;1613.960319;1587.858218;2067.909465;0.767856739;2468.550361;1844.016816;2589.12405;2642.177381;2342.990577;3245.487769;2743.551909;2300.563742;1.192556354
gene-LOC117903536;0;5.82E-07;-303.5010581;1748.29765;1955.3083;1313.360825;1561.639169;1482.870085;1061.954347;1368.8212;1672.322258;0.818515208;1932.066582;1941.964592;2104.582724;2030.262067;1869.477757;1934.852736;1944.864187;1992.871299;0.975910581
gene-LOC117890196;0;5.93E-07;-154.8634467;1560.875456;1662.995799;1333.276996;1451.544142;1429.75495;1211.25882;1364.185971;1519.049417;0.898052397;1489.829953;1659.115401;1724.856789;1590.979815;1528.28389;1553.88001;1557.714572;1624.600714;0.958829181
gene-LOC117894113;0;6.20E-07;141.6600071;1075.725299;1050.263826;1291.231746;1198.218692;1151.988915;1491.993286;1280.733631;1139.073624;1.124364224;1277.169717;1254.331222;994.8267834;1330.814497;1046.264852;998.5261823;1125.201844;1175.442574;0.957258031
gene-LOC117900234;0;6.21E-07;221.0171575;2865.021554;2850.046885;2796.009103;3091.211825;3104.187818;2978.729371;3058.043005;2837.025847;1.077904527;2827.41451;3362.207354;3568.320468;2992.306408;3110.440495;3013.349869;3038.698924;3252.647444;0.934223268
gene-LOC117902066;0;6.37E-07;50.13107541;135.6858589;93.68990419;147.1583738;161.4014473;143.672087;221.8538289;175.6424544;125.511379;1.399414585;158.2868807;157.9158032;99.29879169;134.5403206;104.9100258;136.6170416;125.355796;138.5004919;0.905092786
gene-LOC117901996;0;6.41E-07;-181.0312493;1255.338234;1385.673683;1342.128628;1133.016782;1230.355508;1076.674506;1146.682266;1327.713515;0.863651874;1431.831707;1227.34561;1464.657177;1416.725786;1603.894719;1461.691275;1494.103926;1374.611498;1.086928146
gene-LOC117903011;0;6.46E-07;-331.8622319;1936.696001;2134.256017;1511.41608;1704.869592;1606.515154;1275.396656;1528.927134;1860.789366;0.821655133;2397.26085;1929.970987;2419.948331;2492.237867;1697.463121;2071.469777;2087.056922;2249.060056;0.927968516
gene-LOC117896217;0;6.46E-07;-136.563994;1076.701456;1130.837144;983.6375514;1000.475197;943.0113344;837.9976382;927.1613897;1063.725384;0.871617246;1031.885467;1027.452188;1009.537716;1292.721755;1079.34459;1098.489871;1156.852072;1022.958457;1.130888615
gene-LOC117896008;0;6.47E-07;-294.6813243;1461.307416;2019.954334;2077.920497;1344.655766;1613.481074;1717.001434;1558.379425;1853.060749;0.840975897;1766.52992;1611.140979;2057.691628;2214.241903;2141.676743;2021.487933;2125.802193;1811.787509;1.173317612
gene-LOC117892554;0;6.50E-07;-105.505095;735.0464156;742.9609402;699.2788892;628.5036491;673.9526988;558.3146121;620.2569867;725.7620817;0.854628538;865.1405082;775.5864765;850.4757622;983.1169211;830.7739883;783.0488971;865.6466022;830.4009156;1.042444181
gene-LOC117899539;0;6.58E-07;259.4292245;943.9440689;780.4369019;1191.650892;1157.601109;1126.737458;1409.98097;1231.439845;972.0106209;1.266899578;1236.087626;1125.399965;835.7648301;1077.943533;1144.55893;870.7948019;1031.099088;1065.750807;0.967486097
gene-LOC117894949;0;6.67E-07;-383.3384995;1676.062013;2497.772846;1753.729493;1471.852933;1849.451592;1456.244327;1592.516284;1975.854784;0.805988526;2358.595352;1754.064776;2655.323244;2792.927378;2482.870611;2624.60219;2633.466726;2255.994458;1.167319679
gene-LOC117891140;0;6.72E-07;1253.15347;39811.59763;27521.40936;35295.88064;41841.45467;28078.75023;36468.14314;35462.78268;34209.62921;1.0366316;40268.90743;52202.16709;38785.37249;36942.66478;31489.07505;35194.99348;34542.24444;43752.149;0.789498235
gene-LOC117895839;9.22E-155;6.95E-07;29.63015285;29.28471775;32.79146647;42.04524967;40.61758276;66.17623399;86.2180757;64.33729748;34.70714463;1.853719117;39.87379437;61.96696075;47.81052933;34.04032208;52.9275806;47.76042918;44.90944395;49.88376148;0.900281828
gene-LOC117897247;0;7.38E-07;-436.7062693;5050.637655;6672.594976;6349.939154;4644.299924;6394.713979;5724.039074;5587.684326;6024.390595;0.9275103;7629.18599;5073.295044;6142.733586;6510.61684;6388.169951;5421.364066;6106.716952;6281.738207;0.972138085
gene-LOC117898422;0;7.53E-07;426.9958688;833.6382987;940.6466381;1520.267712;1235.629623;1507.250803;1832.659829;1525.180085;1098.184216;1.388819892;1320.668402;1737.073835;1494.998475;1201.137079;1275.932747;1607.193977;1361.421268;1517.580237;0.897100024
gene-LOC117902234;0;7.59E-07;-321.0318936;2208.067719;2725.439313;2227.291778;2022.328068;2218.645319;1956.729742;2065.901043;2386.932937;0.865504435;2815.331542;2145.855883;2680.147942;2918.552377;2658.66579;2659.034127;2745.417431;2547.111789;1.0778551
gene-LOC117892406;0;7.80E-07;-157.1027041;1151.865565;1238.580533;1170.628267;1063.539338;1073.622323;952.6045925;1029.922084;1187.024788;0.867650022;1266.295046;1125.399965;1245.832062;1422.399173;1319.408973;1247.324697;1329.710948;1212.509024;1.096660661
gene-LOC117901102;0;7.90E-07;67.23104285;283.085605;200.496395;245.6327744;364.4893611;244.6779178;321.7406239;310.3026343;243.0715914;1.276589471;222.3266111;438.7660608;238.1332134;263.4072542;261.8024969;201.0380856;242.0826122;299.7419617;0.807636711
gene-LOC117903757;0;8.91E-07;-202.4826808;2819.142162;2687.026452;2433.092211;2623.04074;2475.513595;2233.258449;2443.937594;2646.420275;0.923488086;3760.219639;3358.209486;3693.363391;3741.193494;3090.592653;3614.242711;3482.009619;3603.930839;0.966169934
gene-LOC117897549;0;8.95E-07;-370.7536636;4744.124276;3904.058308;4098.305389;4477.554058;3401.980871;3754.692053;3878.075661;4248.829324;0.912739808;4767.93917;4412.647285;4907.934723;5094.701538;5196.354252;5291.411271;5194.155687;4696.173726;1.106039936
gene-LOC117896000;2.80E-263;9.25E-07;331.8099429;533.9580204;743.8978393;1064.408689;652.0190917;986.5483304;1699.126955;1112.564792;780.7548495;1.42498608;921.9304578;900.5198651;461.5554947;680.8064416;890.3175165;533.1396746;701.4212109;761.3352725;0.921303972
gene-LOC117892182;0;9.53E-07;-125.598271;868.77996;1276.056495;994.7020908;795.2495152;1077.976022;889.5181956;920.9145776;1046.512849;0.879984014;953.3461746;798.57422;960.8077529;933.6774057;1068.948101;1047.397319;1016.674275;904.2427158;1.12433781
gene-LOC117893103;0;9.75E-07;-278.310277;4792.932139;5360.936318;4796.477824;4551.307037;5136.494794;4427.613619;4705.138483;4983.44876;0.944153077;5729.743422;4786.447984;6013.093497;6055.124911;6113.135559;6047.803184;6072.021218;5509.761634;1.102047896
gene-LOC117902672;0;9.79E-07;78.40399311;424.6284074;254.8365394;352.9588064;540.855181;297.793053;428.9874986;422.5452442;344.1412511;1.227825037;544.9418564;624.666943;401.792333;652.4395066;697.5099014;389.8583871;579.9359317;523.8003775;1.107169747
gene-LOC117892934;0;9.93E-07;262.3527222;697.9524398;904.1075754;1156.244366;778.1473751;1201.621091;1565.594082;1181.787516;919.4347937;1.285341303;981.137001;976.4793653;1102.400474;944.2136958;1011.294844;1098.489871;1017.99947;1020.005614;0.998033204
gene-LOC117894234;0;9.96E-07;-193.536254;2650.266957;2537.122605;2140.988371;2486.223619;2310.07301;1951.472543;2249.256391;2442.792644;0.920772541;2313.88837;1935.96779;2429.142663;2685.943509;2709.703099;2617.937944;2671.194851;2226.332941;1.199818231
gene-LOC117890466;1.49E-265;1.03E-06;218.2990424;869.7561173;1367.872601;638.4239226;1003.681848;1795.465717;731.8022035;1176.983256;958.6842137;1.227706933;983.5535945;1843.017349;484.5413261;541.4032179;1757.006649;765.2775746;1021.229147;1103.70409;0.925274407
gene-LOC117901638;0;1.03E-06;-195.9122055;2835.736836;2848.173087;1838.926446;2559.976598;2613.961243;1761.161912;2311.699918;2507.612123;0.921873003;3079.948541;2343.75037;2785.882767;3198.979792;2486.651153;2456.885334;2714.172093;2736.527226;0.991830838
gene-LOC117897351;0;1.09E-06;-177.9538378;1743.416864;2661.730178;1855.523255;1623.634427;2414.561801;1688.612556;1908.936261;2086.890099;0.914727739;1673.491067;1689.099414;2039.302963;1935.435456;2138.841337;1960.399012;2011.558602;1800.631148;1.117140845
gene-LOC117894428;0;1.11E-06;324.7597737;2540.937344;1384.736784;1898.674959;2770.546698;1702.296545;2325.785164;2266.209469;1941.449695;1.167276945;1860.777071;3432.170052;1860.013478;2203.705613;2308.020568;2222.526019;2244.750733;2384.3202;0.941463623
gene-LOC117903432;0;1.11E-06;544.477485;1507.186807;1794.161665;2042.513971;1719.833965;2557.363148;2700.097785;2325.764966;1781.287481;1.305665139;1629.992382;1764.059447;1291.803725;1120.088693;1715.420693;1741.589604;1525.699663;1561.951851;0.976790457
gene-LOC117897316;0;1.11E-06;954.0298605;9513.628641;6568.599183;8992.151159;10079.57383;7639.001327;10217.89341;9312.156188;8358.126328;1.114143987;11001.54236;12459.35698;9070.209074;10204.80227;8443.839376;8656.855467;9101.832371;10843.7028;0.839365716
gene-LOC117894379;0;1.12E-06;-169.8480083;1056.202154;833.8401473;815.4565528;859.3825406;612.1301644;724.4421238;731.984943;901.8329512;0.811663559;869.9736954;858.5422465;697.8498416;825.8830524;864.7988615;888.5661244;859.7493461;808.7885945;1.063008742
gene-LOC117901437;1.40E-275;1.20E-06;31.4498061;60.52175002;33.72836551;43.15170361;92.99288685;60.95179447;77.80655612;77.25041248;45.80060638;1.686667898;39.87379437;66.96429629;57.0048619;34.04032208;48.20190376;54.42467512;45.55563365;54.61431752;0.834133533
gene-LOC117897716;0;1.22E-06;-133.5558278;972.2526294;1289.173082;1343.235081;851.9003543;1170.274454;1181.818501;1067.99777;1201.553598;0.888847382;1388.333022;1523.187874;1815.880681;1699.584653;1599.169042;1682.722098;1660.491931;1575.800526;1.053745004
gene-LOC117890075;0;1.22E-06;507.976151;7075.187809;4387.498213;5839.863888;7767.578262;4550.486827;6508.413275;6275.492788;5767.516637;1.088075368;6103.107133;7728.879153;5592.912499;6635.431354;5757.764661;5466.90308;5953.366365;6474.966261;0.919443612
gene-LOC117891855;0;1.23E-06;-896.9898175;5998.486353;7970.200149;5174.885071;5545.368931;6492.236851;4414.99634;5484.200707;6381.190525;0.859432215;7905.885957;6086.754693;7816.102113;8621.927293;7926.85033;7759.403681;8102.727101;7269.580921;1.114607182
gene-LOC117896942;0;1.25E-06;580.4802283;3258.412929;3587.386431;4476.712636;3572.209516;4436.419897;5055.323268;4354.650894;3774.170665;1.153803386;3018.325404;4457.623305;3113.201006;2992.306408;3640.661437;3607.578465;3413.515436;3529.716572;0.967079188
gene-LOC117899169;0;1.26E-06;271.276908;1042.535952;885.3695946;1076.579682;1219.596367;1076.234542;1522.485044;1272.771984;1001.495076;1.270871934;857.8907274;836.5539701;817.3761649;979.0645018;910.1653592;841.9164028;910.3820879;837.2736208;1.087317294
gene-LOC117891186;0;1.26E-06;-272.9726002;3779.680905;5662.617809;5245.698123;3503.800955;5420.356008;4944.922073;4623.026345;4895.998946;0.94424578;4636.234819;4107.809817;5329.954587;5039.588636;5060.254759;5552.42757;5217.423655;4691.333074;1.112140957
gene-LOC117903046;0;1.29E-06;-194.5576051;2355.467465;2992.45554;2205.1627;2240.380355;2681.878957;2047.153578;2323.13763;2517.695235;0.922723925;2008.18928;2245.802594;2853.920828;2330.951579;3071.689945;2717.901633;2706.847719;2369.304234;1.142465235
gene-LOC117895434;0;1.31E-06;-527.2279222;3809.94178;4430.595569;3723.217503;3515.558677;3619.665851;3246.846558;3460.690362;3987.918284;0.8677937;4631.401631;3732.010184;5140.551337;5242.209601;4555.552473;4886.002976;4894.58835;4501.321051;1.087367085
gene-LOC117892245;0;1.34E-06;393.4057449;1262.171335;2319.762028;2961.977194;1502.850562;2949.196112;3272.081117;2574.709264;2181.303519;1.180353509;1285.627794;2204.824442;1804.847482;1132.245951;1825.056395;1984.83458;1647.378976;1765.099906;0.933306364
gene-LOC117895502;0;1.35E-06;-314.3354681;6275.715015;4848.452542;5304.340182;5885.273966;4714.185932;4886.041436;5161.833778;5476.169246;0.942599388;8536.616886;7864.806679;7415.229213;7654.209565;6726.528413;7055.215027;7145.317668;7938.88426;0.900040539
gene-LOC117890020;0;1.41E-06;59.77422371;230.373113;165.8311304;201.3746168;291.8052656;246.4193976;238.6768681;258.9671771;199.1929534;1.300082019;256.1589214;294.8427971;194.9198504;236.6612869;240.0643834;268.7912526;248.505641;248.640523;0.999457522
gene-LOC117898870;0;1.42E-06;158.7561594;1226.053517;855.3888252;1087.644222;1414.13321;911.6646972;1319.557134;1215.118347;1056.362188;1.150285727;1040.343544;1255.330689;906.5611908;1067.407242;958.3672629;984.0869827;1003.287163;1067.411808;0.939925112
gene-LOC117899508;0;1.44E-06;-251.8966975;2995.826626;2856.605179;2137.669009;2817.577583;2473.772115;1943.061023;2411.470241;2663.366938;0.905421707;2747.666921;2123.867606;2947.70302;2852.0927;2701.196881;3041.117561;2864.802381;2606.412516;1.099136212
gene-LOC117894845;0;1.45E-06;-150.6940555;1370.524791;1640.510222;1613.209843;1267.696136;1502.897104;1401.56945;1390.720896;1541.414952;0.902236542;1588.910291;1327.292321;1468.33491;1680.13304;1473.466038;1534.99798;1562.865686;1461.512507;1.069348143
gene-LOC117896680;2.98E-157;1.49E-06;200.5989504;331.8934679;539.6538481;834.2662697;377.3159662;806.3051668;1123.989304;769.203479;568.6045286;1.352791686;320.1986518;681.6365682;509.366024;322.5725759;626.6247488;600.8928416;516.6967221;503.733748;1.025733781
gene-LOC117899987;0;1.50E-06;-75.04856417;423.6522502;369.1382225;410.4944112;362.3515936;280.3782545;335.4093433;326.0463971;401.0949613;0.812890783;601.731806;528.7181006;605.906516;554.3709596;376.1638764;597.5607186;509.3651849;578.7854742;0.880058688
gene-LOC117900311;0;1.50E-06;166.8766826;1344.168545;685.8100987;1055.557057;1470.78405;856.8080822;1258.573617;1195.388583;1028.5119;1.162250609;1041.551841;1388.259814;1004.021116;1283.806433;1076.509184;888.5661244;1082.96058;1144.610924;0.946138603
gene-LOC117894596;0;1.50E-06;-92.53114427;540.7911212;728.9074546;529.9914366;443.5867591;629.5449628;448.9648576;507.3655265;599.8966708;0.845754863;644.022194;585.6877258;586.5984176;770.77015;689.9488185;651.9853938;704.2347874;605.4361124;1.163185963
gene-LOC117895382;0;1.53E-06;208.6501069;779.9496495;530.2848577;865.24698;903.2067746;778.4414893;1119.783544;933.8106027;725.1604957;1.287729555;809.5588555;1286.314169;744.7409377;755.3709567;957.4221276;1122.92544;945.239508;946.8713207;0.998276627
gene-LOC117897091;0;1.56E-06;3519.404861;27278.71459;26897.43459;33376.18306;29150.59782;29729.67312;39230.27588;32703.51561;29184.11075;1.120593185;26609.11211;31425.24484;31929.15869;28254.27781;24895.81072;30950.97953;28033.68935;29987.83855;0.934835277
gene-LOC117902611;0;1.58E-06;-142.7250487;1159.674823;1548.694116;1470.477284;1049.643849;1388.830174;1312.197055;1250.223693;1392.948741;0.897537473;1331.543073;1214.352537;1760.714686;1590.979815;1626.577968;1706.046959;1641.201581;1435.536765;1.14326684
gene-LOC117892262;0;1.58E-06;105.7282629;737.9748874;634.2806514;648.382008;897.8623558;696.5919368;743.3680429;779.2741118;673.5458489;1.156972629;795.0592939;869.5363847;622.4563146;606.2419266;659.7044867;598.6714263;621.5392799;762.3506644;0.815293157
gene-LOC117891354;0;1.60E-06;-102.3816164;745.7841455;742.9609402;705.9176128;647.7435567;622.5790435;617.1952492;629.1726165;731.5542328;0.860049178;740.6859379;653.6514892;502.010558;757.8024083;695.6196307;667.5353009;706.98578;632.115995;1.118443111
gene-LOC117890185;0;1.62E-06;109.3056065;901.9693068;553.7073338;713.6627904;1065.677106;579.9127874;851.6663575;832.4187502;723.1131437;1.151159756;711.6868147;891.5246611;566.3708859;738.3507956;577.4777097;651.9853938;655.9379664;723.1941206;0.907001243
gene-LOC117900239;0;1.66E-06;-133.57594;1211.411158;1486.858779;995.8085448;1110.570223;1286.953603;895.8268353;1097.783554;1231.359494;0.891521574;1203.463612;1040.44526;1269.737327;1589.358848;1219.224624;1338.402725;1382.328732;1171.2154;1.1802515
gene-LOC117892257;0;1.69E-06;181.2687227;2237.352436;1828.82693;2108.901207;2388.955197;1940.008544;2389.923001;2239.628914;2058.360191;1.088064627;2043.229887;2235.807922;2105.502157;2041.608841;2102.926193;2240.297341;2128.277458;2128.179989;1.000045799
gene-LOC117891001;3.13E-274;1.70E-06;-197.6656326;909.7785649;920.9717582;481.3074633;596.4371364;776.7000095;345.9237427;573.0202962;770.6859288;0.743519863;1338.792854;1234.341879;728.1911391;1321.08869;893.1529226;334.3230043;849.5215391;1100.441957;0.771982142
gene-LOC117894453;0;1.75E-06;184.8043564;880.4938471;865.6947147;1090.963583;961.9953813;1111.064139;1318.505694;1130.521738;945.7173818;1.195411822;1029.468873;992.4708391;761.2907363;1012.29434;748.5472113;786.3810201;849.0741905;927.7434828;0.915203616
gene-LOC117895164;7.62E-15;1.81E-06;47.75726108;301.6325929;29.98076934;43.15170361;402.9691764;38.31255652;76.75511617;172.6789497;124.9216886;1.382297595;619.856258;47.97442122;239.9720799;598.9475719;81.28164163;145.5027029;275.2439721;302.6009197;0.909593971
