Gene;(Intercept);Generation ;Selection;Generation:Selection;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL23;meanNL23;meanWNL9DIVmeanNL9;meanWNL23DIVmeanNL23
gene-LOC117897084;0;0.00076331;0.219799176;2.92E-09;898.9799744;729.893978;750.0606516;1027.768114;934.3964119;862.1495201;867.4868801;848.8514852;811.6953875;771.2585303;736.8441741;749.7346947;752.6124664;842.6779176;941.4380152;792.9782014;0.893119958;1.187218026
gene-LOC117900805;0;0.000132494;0.030680524;4.01E-09;722.8673802;725.092044;818.8815477;851.5358872;993.5930657;962.3509172;845.7738592;1065.769193;1025.175966;779.1170597;980.9295419;900.3510396;886.7992138;978.9063394;935.8266233;755.6136573;0.905908132;1.238498821
gene-LOC117900128;0;0.000153347;0.910099673;4.41E-09;2557.661336;2294.364097;2605.611393;3216.238132;2804.099953;3025.873437;3062.569891;3476.62627;3782.828937;2658.428238;2768.441934;3012.326898;2813.06569;3440.675033;3015.403841;2485.878942;0.817591218;1.213013148
gene-LOC117891283;0;0.002345316;0.572507034;5.21E-09;798.8375189;678.0330901;739.6068446;875.8437805;930.7535409;846.4930519;797.1780507;836.9655834;763.6036087;701.6544126;730.420875;635.9356785;689.3369887;799.249081;884.3634577;738.8258179;0.862480802;1.196985049
gene-LOC117895754;0;2.91E-08;0.052863072;5.87E-09;404.0230103;470.5895385;453.8694535;375.2531028;324.2155191;305.8230138;308.1181052;273.3757409;301.4533448;348.0205886;335.8467842;331.3559588;338.4077772;294.3157303;335.0972119;442.8273341;1.149812064;0.756722059
gene-LOC117900632;0;7.67E-06;0.0141869;7.08E-09;2547.301771;2581.519754;2900.93144;2936.697359;3413.370128;3245.063993;2977.785715;3442.949548;3611.575286;2834.683827;3317.175205;3177.447039;3109.76869;3344.103516;3198.37716;2676.584322;0.929925965;1.194947282
gene-LOC117898086;0;7.88E-07;0.809148009;7.39E-09;1764.57913;1847.784229;1913.91783;1848.159512;2192.097625;2116.754512;1669.834698;2043.384614;1903.730656;1608.753237;1781.089093;1695.828476;1695.223602;1872.316656;2052.337217;1842.09373;0.905415009;1.114132893
gene-LOC117893467;0;7.37E-13;2.70E-07;8.09E-09;424.742139;494.5992088;442.544496;122.2990882;45.53588752;60.53834403;418.7511161;888.4711578;407.020664;709.512942;503.7701763;685.0254502;632.7695229;571.4143126;76.1244399;453.9619479;1.107374297;0.167689033
gene-LOC117899719;0;0.032001846;0.816358032;1.51E-08;1076.243631;1002.643833;1033.184591;1092.335955;1284.112028;1182.585238;1100.126389;1157.884931;1136.608137;920.5705893;993.7761402;1020.844116;978.3969484;1131.539819;1186.344407;1037.357352;0.86465976;1.143621728
gene-LOC117892218;1.59E-29;2.83E-08;3.03E-09;1.69E-08;14.9638152;90.27636044;82.75930535;1.519243331;5.464306502;1.043764552;32.05255457;114.8970505;37.53504682;39.29264711;68.82106234;46.85841842;51.65737595;61.49488396;2.675771462;62.66649366;0.840027212;0.042698599
