Gene;(Intercept);Selection;WNL-NL;C_NL1_G23_C;C_NL2_G23_C;C_NL3_G23_C;W_NL1_G23_C;W_NL2_G23_C;W_NL3_G23_C;C_NL1_G9_C;C_NL2_G9_C;C_NL3_G9_C;W_NL1_G9_C;W_NL2_G9_C;W_NL3_G9_C;meanWNL9;meanNL9;meanWNL9DIVmeanNL9;meanWNL23;meanNL23;meanWNL23DIVmeanNL23
gene-LOC117900514;0;6.89795E-35;-827.5201689;3621.243277;3295.087156;3488.958083;2758.186268;2428.88424;2787.895119;2510.43879;2394.018716;2249.756869;3018.797945;1889.367565;2133.173715;2347.113075;2384.738125;0.984222565;2658.321876;3468.429506;0.766433878
gene-LOC117897850;0;5.06017E-34;-1445.280617;6750.982778;5260.998963;6216.530558;5349.255769;3876.014746;4752.260006;5089.118503;3012.085609;2424.529431;5850.11383;2529.862252;2574.98166;3651.652581;3508.577847;1.040778555;4659.17684;6076.170766;0.766794914
gene-LOC117901378;0;1.73804E-32;-1229.622702;6574.870184;5951.517081;7206.157619;5376.602149;4693.839285;6018.346408;4498.731127;4556.262348;4527.665023;4797.070888;3326.351347;3912.677938;4012.033391;4527.552832;0.886137289;5362.929281;6577.514962;0.815342772
gene-LOC117897224;0;3.48113E-32;689.6328402;4554.755133;4482.125257;4587.478968;5176.06203;5144.644572;5163.50324;5808.75005;5808.244001;6402.071423;5200.101183;6549.012293;6242.210739;5997.108071;6006.355158;0.99846045;5161.40328;4541.453119;1.136509206
gene-LOC117900789;0;6.31166E-32;-415.1048868;1789.90251;2337.581503;1427.815805;1454.67549;1795.935404;1087.602663;1874.557466;2473.258061;3066.144137;2111.69912;3160.263183;2832.702961;2701.555088;2471.319888;1.093162848;1446.071186;1851.766606;0.780914388
gene-LOC117893547;0;9.56485E-32;-147.9796016;306.1826801;323.650356;241.3087114;158.7609281;166.6613483;118.989159;90.98789684;75.27737792;73.89712343;106.6514707;44.96309406;70.28762763;73.96739747;80.05413273;0.923967258;148.1371451;290.3805825;0.510148247
gene-LOC117899764;0;1.07987E-31;-438.1365771;2219.2489;1991.842251;2393.05065;1846.640269;1586.470321;1876.688665;1307.951017;1426.308213;1690.250077;1508.837649;1074.526187;1299.763273;1294.375703;1474.836436;0.877640172;1769.933085;2201.3806;0.804010485
gene-LOC117893703;0;9.01118E-30;777.0305027;6632.42332;6317.424457;6071.919561;7352.378102;7122.723526;6615.379732;8214.75955;8327.064686;8017.251407;8006.718833;8820.10735;8084.192854;8303.673012;8186.358548;1.014330482;7030.160453;6340.589113;1.10875509
gene-LOC117902378;0;1.46758E-29;-701.001065;6546.093617;5156.3168;5809.703235;5599.171297;4621.892583;5164.547004;4466.678572;4066.959391;3877.839525;4653.372064;3220.825718;3814.498394;3896.232059;4137.159163;0.941765087;5128.536962;5837.371217;0.878569611
gene-LOC117898093;0;1.83358E-29;-683.0395431;2999.669415;2637.222189;2932.292861;2306.970999;1922.525171;2332.813774;1670.868651;1898.772809;1632.774537;1813.075002;1537.92134;1735.992835;1695.663059;1734.138665;0.977812843;2187.436648;2856.394822;0.765803324
gene-LOC117891823;0;3.75323E-29;-365.2542273;1557.387843;1696.043112;1805.895158;1258.6931;1329.647916;1397.600735;1056.700347;1352.021327;1174.143183;1156.326472;1135.088722;1030.885205;1107.433466;1194.288286;0.927274829;1328.64725;1686.442038;0.787840448
gene-LOC117903085;0;1.71017E-28;-415.5847445;2234.212715;2126.296404;2258.893461;1843.601782;1705.774346;1840.156906;1812.520263;1724.446249;1337.186043;2005.047649;1321.364397;1410.215259;1578.875768;1624.717519;0.971784788;1796.511012;2206.467527;0.814202335
gene-LOC117894123;0;7.39631E-28;-556.3919139;2523.129454;2069.633582;2521.980937;1940.833356;1692.11358;1849.550787;1618.137029;1731.379692;1556.531473;1807.461767;1224.097296;1401.289846;1477.616303;1635.349398;0.903547771;1827.499241;2371.581325;0.770582574
gene-LOC117896958;1.1598E-279;1.36014E-27;-567.6850275;479.993149;836.4969143;397.2446657;41.01956994;17.30363726;27.13787836;528.3501737;1048.930832;716.6848002;514.1723535;535.8866721;797.7087897;615.9226051;764.6552686;0.805490566;28.48702852;571.2449096;0.049868328
gene-LOC117891056;0;2.58517E-27;-514.6737076;1978.676794;1895.803569;2019.32705;1533.676143;1333.290787;1519.721188;952.2710567;1036.054438;1012.273294;1059.778825;707.4805209;886.96292;884.7407552;1000.199596;0.8845642;1462.229373;1964.602471;0.744287658
gene-LOC117898720;0;5.90623E-27;-432.3860291;2497.806075;2382.719684;2659.622729;1982.612547;2046.382785;2229.481084;1435.127282;1758.122971;1558.877413;1499.856472;1350.72805;1274.10271;1374.895744;1584.042555;0.867966419;2086.158805;2513.382829;0.830020314
gene-LOC117899965;0;9.99335E-27;646.4171547;4330.297905;3861.715376;3747.689806;5056.041806;4453.409799;4175.058209;4425.320437;4721.674481;5263.117346;4859.939123;5628.645285;5563.879349;5350.821253;4803.370755;1.113972151;4561.503272;3979.901029;1.146134851
gene-LOC117899630;0;4.42882E-26;8973.118697;44968.56679;43857.02421;44489.66025;50596.8799;55255.97807;52053.58198;76203.39755;85946.95575;66600.07573;63328.52066;88403.86623;78535.82494;76756.07061;76250.14301;1.006635104;52635.47999;44438.41708;1.184458931
gene-LOC117891756;0;6.32365E-26;-699.3904055;6970.835756;6404.819657;6538.856273;6204.589765;5856.825853;5720.873511;6107.562575;5017.831533;4165.217227;6512.475596;4619.269704;4365.642649;5165.795983;5096.870445;1.01352311;5927.429709;6638.170562;0.892931216
gene-LOC117896702;0;2.90239E-25;864.7193531;6500.051108;5616.342084;6328.037832;7355.416588;6491.596125;6912.852629;6579.045313;7534.671234;6640.184376;6569.730596;7276.680325;7151.487192;6999.299371;6917.966975;1.01175669;6919.955114;6148.143675;1.125535687
gene-LOC117899950;0;5.69444E-25;-639.5781994;5674.739147;5743.113143;5940.375823;5102.378728;5100.93012;5212.560174;4593.854837;4903.924975;4791.583321;4788.089712;4337.562156;4950.257203;4691.96969;4763.121044;0.985062031;5138.623007;5786.076038;0.888101534
gene-LOC117890543;0;1.70389E-24;-278.9518468;872.5055322;1619.212167;1095.036282;668.4670658;1217.629632;886.1561048;1023.613839;2008.7174;1757.109379;1267.468531;2757.430565;1981.441693;2002.113596;1596.480206;1.254079811;924.0842676;1195.584661;0.772914122
gene-LOC117896239;0;3.01595E-24;397.1102233;2132.919197;1888.120475;1950.506154;2472.568522;2341.455336;2242.006258;3046.026637;2733.757409;2731.847626;2646.079121;3257.530284;2856.13217;2919.913858;2837.210557;1.029149511;2352.010039;1990.515275;1.181608636
gene-LOC117898843;0;3.4091E-24;-728.3938788;2434.497626;2562.312018;2879.152676;1861.832702;1755.863823;2130.323451;1311.052877;1448.099033;1415.775047;1649.168531;1170.875674;1365.588194;1395.2108;1391.642319;1.002564223;1916.006659;2625.320773;0.729818115
gene-LOC117903063;0;3.87331E-24;-682.7456719;3788.14737;3597.609002;4008.163831;2954.928279;3011.7436;3405.803734;2792.708061;2491.086914;2630.972188;2944.703239;2168.322271;1898.881623;2337.302377;2638.255721;0.885927152;3124.158538;3797.973401;0.822585681
gene-LOC117891111;0;3.93819E-24;466.001756;2860.390828;2617.054066;2913.127548;3252.699972;3069.118819;3329.608922;2839.235963;4195.723327;3361.732631;2760.589121;4010.891513;3889.248729;3553.576454;3465.563974;1.025396294;3217.142571;2796.857481;1.150270471
gene-LOC117897725;1.07094E-85;4.19001E-24;-119.5167236;177.2636569;176.7111736;69.69204661;34.18297495;26.41081476;19.83152649;2393.602059;364.5009878;961.8355748;1908.500002;434.0314998;268.8780676;870.4698566;1239.97954;0.702003403;26.80843874;141.2222924;0.189831494
gene-LOC117895033;0;1.08561E-23;-706.1045197;6063.798342;5398.334277;5911.627854;5418.381341;4752.125221;5066.433137;5341.403126;4826.666613;4860.788563;5381.970006;4187.073433;4720.427817;4763.157085;5009.619434;0.950802181;5078.9799;5791.253491;0.877008735
gene-LOC117896790;0;3.57284E-23;237.608286;638.8398026;839.3780747;631.5841724;818.1125339;1091.950583;862.1495201;885.0640874;1091.52198;814.0413279;806.0605892;1065.350045;808.865556;893.4253968;930.2091317;0.960456489;924.0708789;703.2673499;1.313968122
gene-LOC117896069;0;4.57648E-23;298.0879306;1208.615843;1009.366541;1236.162677;1545.83009;1241.308294;1485.276958;1304.849157;1705.626905;1224.580903;1258.487354;1549.850324;1319.845452;1376.061043;1411.685655;0.974764487;1424.138447;1151.381687;1.23689517
gene-LOC117902777;0;5.52708E-23;-731.5969215;6982.346383;6363.523024;6914.322174;6257.763281;5558.110431;6211.44285;5078.778969;4783.084973;4403.33018;5781.63236;3788.828885;4279.735549;4616.732265;4755.064707;0.9709084;6009.105521;6753.397194;0.889790034
gene-LOC117895235;0;5.74267E-23;-7995.851909;21713.64691;21197.65774;23839.90684;15485.64728;12922.17416;15124.14836;10051.06074;11015.25947;10055.87364;12801.54443;6313.185452;7032.109792;8715.613224;10374.06462;0.84013485;14510.6566;22250.40383;0.652152505
gene-LOC117898627;0;6.014E-23;-642.7820085;6799.327412;5773.845521;6538.856273;6114.194787;5310.395202;5717.742217;5993.827704;6007.332856;5366.338725;6083.624419;5506.602602;4916.786904;5502.337975;5789.166428;0.950454274;5714.110735;6370.676402;0.89693941
gene-LOC117894127;0;1.51886E-22;-271.3408607;1191.349902;1199.52313;1291.916314;960.921407;931.6642586;992.6200892;926.4222223;911.2524695;711.9929194;993.5426482;642.3299152;714.0330425;783.3018687;849.8892037;0.921651746;961.7352516;1227.596449;0.783429483
gene-LOC117900987;0;1.53293E-22;466.7500996;3003.122603;3107.811728;2973.236938;3447.92274;3482.584677;3413.110086;3870.087476;4485.937429;4697.745704;3557.668534;4573.388996;4717.080787;4282.712772;4351.256869;0.984247288;3447.872501;3028.05709;1.138641842
gene-LOC117897367;0;4.73459E-22;-755.0614357;3348.441416;2914.773978;3305.14531;2711.089725;2159.311786;2478.940812;1850.776538;1765.056414;1497.882962;1991.575885;1186.475115;1424.719055;1534.256685;1704.571971;0.900083253;2449.780774;3189.453568;0.768087925
gene-LOC117897826;0;6.06037E-22;-2622.731405;10144.31564;10713.1149;10401.53796;8273.799182;7629.993313;7669.58193;7471.347074;6311.413843;5868.369976;7784.434715;4943.187505;5243.680156;5990.434125;6550.376965;0.914517463;7857.791475;10419.65617;0.754131552
gene-LOC117902623;0;1.14442E-21;413.2206859;2258.385032;2430.739024;2716.247517;2600.944583;2892.439575;3035.267318;2638.649008;3054.676757;3182.268188;2835.806474;3017.115373;3037.987461;2963.636436;2958.531318;1.001725558;2842.883825;2468.457191;1.151684476
gene-LOC117890386;0;1.59281E-21;110.2470063;138.1275249;80.67249231;83.63045593;243.078933;165.7506306;203.5340877;219.1981151;32.68622989;46.91880852;88.68911775;44.96309406;108.220633;80.62428161;99.60105117;0.809472196;204.1212171;100.8101577;2.024808033
gene-LOC117903410;0;2.20828E-21;305.1050639;931.2097302;1167.830365;1097.649734;1246.539153;1472.630602;1323.493452;2288.138815;2050.318056;1601.104341;2021.887355;2405.066725;2105.281799;2177.41196;1979.853737;1.099784251;1347.554403;1065.563276;1.264640432
gene-LOC117900068;0;2.3621E-21;2568.111495;11372.49955;10532.56218;11929.53608;13962.60584;13219.06815;13699.40975;17428.31806;15864.7074;13485.63854;14575.32678;12533.69187;11931.04587;13013.35484;15592.888;0.834569891;13627.02791;11278.19927;1.208262736
gene-LOC117900128;0;3.29209E-21;579.6715564;2557.661336;2294.364097;2605.611393;3216.238132;2804.099953;3025.873437;3062.569891;3476.62627;3782.828937;2658.428238;2768.441934;3012.326898;2813.06569;3440.675033;0.817591218;3015.403841;2485.878942;1.213013148
gene-LOC117897425;1;3.5776E-21;-78.47964618;5253.450196;5122.703262;5012.600452;5094.782511;5157.39462;4804.448234;5100.49199;4870.248253;4684.843031;5065.383535;4971.633544;5494.707398;5177.241492;4885.194425;1.059782077;5018.875122;5129.584637;0.97841745
gene-LOC117902237;0;4.54982E-21;406.621611;2483.993322;2376.957363;2535.048195;2837.186921;2783.153445;2876.615106;2958.140601;3079.439052;2683.755848;2694.352944;2700.538486;2514.735122;2636.542184;2907.111833;0.906928366;2832.318491;2465.33296;1.148858404
gene-LOC117897166;0;5.73991E-21;-548.4812447;4115.049179;3989.446822;4611.000034;3668.213023;3479.852524;3916.2046;2335.70067;3158.678397;3036.819882;2694.352944;2504.169055;2511.388092;2569.97003;2843.732983;0.903731133;3688.090049;4238.498678;0.870140663
gene-LOC117903909;0;1.36734E-20;-199.6827369;675.6738092;835.5365275;716.0857789;474.763541;620.198788;550.063919;561.4366816;578.4472198;1058.019132;586.0217654;792.8186382;709.570336;696.1369132;732.6343445;0.950183292;548.3420827;742.4320385;0.738575458
gene-LOC117901941;0;1.47372E-20;-631.284243;6802.7806;7189.455684;6636.425138;5965.30894;6609.078714;6117.504041;4947.466891;5138.671535;5234.966061;5221.431477;5809.415276;5799.287117;5610.044623;5107.034829;1.098493512;6230.630565;6876.220474;0.90611268
