Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;meanWPT9-meanPT9;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;meanWPT23-meanPT23;meanWPT23DIVmeanPT23;meanWPT23DIVmeanPT23.DIV.meanWPT9DIVmeanPT9
gene-LOC117898135;0;1.46E-14;2367.240145;2603.942641;2163.74243;2134.337671;2276.310195;1833.98727;2081.545045;2378.308406;-296.7633604;0.875220825;2750.028078;2660.958441;2769.408734;1990.468995;2827.593468;1777.88308;2198.648514;2726.798418;-528.1499035;0.80631135;0.921266185
gene-LOC117897827;0;1.49E-14;1659.216587;1954.000227;1851.932402;1896.82918;2255.194145;2147.791324;2099.938216;1821.716405;278.2218106;1.152725095;2243.385737;2281.827618;2379.042599;2671.036902;2499.694828;2394.647502;2521.793077;2301.418651;220.3744261;1.095755905;0.950578685
gene-LOC117899750;0;6.48E-13;855.4877753;856.5051716;1103.787575;999.6948324;1005.123982;1377.828396;1127.54907;938.5935073;188.955563;1.201317782;1525.458053;936.6761518;1101.390169;1122.040438;999.6650101;1099.782969;1073.829472;1187.841458;-114.0119859;0.904017506;0.752521539
gene-LOC117899528;0;7.51E-13;1717.81164;2000.946308;1748.327793;2041.493443;2243.369157;1958.677622;2081.180074;1822.361914;258.8181603;1.142023469;2240.067119;2423.854954;2665.842209;2367.898123;2499.694828;2541.171647;2469.588199;2443.254761;26.33343853;1.010778016;0.885076396
gene-LOC117900208;0;7.62E-13;5797.980505;6050.828252;6175.432471;6480.743066;6445.463116;6916.158225;6614.121469;6008.080409;606.0410595;1.100870997;6693.652414;7295.040455;7653.964593;8436.651083;7567.219267;8759.07706;8254.315803;7214.219154;1040.096649;1.144173143;1.039334442
gene-LOC117891490;0;4.51E-12;109.3774325;75.11373003;58.77569217;166.255944;151.1909183;133.0030428;150.1499684;81.08895155;69.06101683;1.85166987;73.009595;98.59748966;51.78326292;262.1510002;208.662771;91.15164807;187.3218064;74.46344919;112.8583572;2.515620865;1.358568774
gene-LOC117899978;1;6.75E-12;11568.61665;13488.13077;12939.61806;12011.45217;14354.69082;13433.30732;13266.48344;12665.45516;601.0282744;1.047454139;18811.03277;17292.12164;19307.19041;17461.64757;16598.27175;17237.8841;17099.26781;18470.11494;-1370.847136;0.92578026;0.883838466
gene-LOC117897033;0;8.02E-12;2077.194632;1925.832578;1884.806942;2416.109109;2208.738835;2038.687265;2221.178403;1962.611384;258.5670186;1.131746417;2359.537366;2520.104884;2597.129802;2597.600465;2420.913986;2702.177829;2573.564093;2492.257351;81.30674255;1.032623735;0.912416173
gene-LOC117896145;0;8.54E-12;1895.549968;1846.545863;1617.825832;2137.576423;2222.253107;1798.658336;2052.829289;1786.640554;266.1887345;1.148988409;1876.12535;2131.583824;2056.393037;2245.788699;2159.020916;2191.898976;2198.902864;2021.367404;177.5354601;1.087829387;0.946771419
gene-LOC117902328;0;8.95E-12;1543.979649;1691.102172;1824.038854;1295.500863;1435.891403;1657.342603;1462.911623;1686.373558;-223.4619352;0.867489659;2200.243704;1385.059974;1964.776495;1511.424334;1190.22948;1276.974958;1326.20959;1850.026724;-523.817134;0.716859693;0.826361082
gene-LOC117895887;0;1.16E-11;1521.518212;1579.474823;1486.327673;1860.123322;1794.864254;1671.889811;1775.625796;1529.106903;246.5188928;1.161217566;2009.976274;1939.083963;2239.626121;2075.860201;2094.079952;2209.788552;2126.576235;2062.895453;63.68078187;1.030869612;0.887748896
gene-LOC117891203;0;1.43E-11;6141.738149;5485.388785;5056.701923;6657.79485;5924.319001;5359.60699;5980.573613;5561.276286;419.2973278;1.075395881;7610.697176;7013.333342;8252.459613;7465.753079;7609.803506;7602.217826;7559.258137;7625.49671;-66.23857315;0.99131354;0.921812662
gene-LOC117902444;0;1.64E-11;4410.25433;4423.364102;4194.990504;4108.896903;3948.701358;3905.925295;3987.841186;4342.869645;-355.0284597;0.918250261;4234.55651;4037.801957;4061.002812;3661.574883;4484.120365;4390.613029;4178.769426;4111.120426;67.64899936;1.016455125;1.10694782
gene-LOC117896701;2.52E-30;2.22E-11;83.98624278;131.4490276;462.235952;44.26294614;100.5123982;306.5304502;150.4352648;225.8904074;-75.4551426;0.665965707;65.26615311;201.8900979;746.8739845;46.96516291;86.23308394;446.3875102;193.1952523;338.0100785;-144.8148261;0.571566544;0.858252216
gene-LOC117889935;0;2.55E-11;34643.34856;50437.82647;53690.1005;38605.92571;55249.72262;63292.82298;52382.82377;46257.09184;6125.731927;1.132427952;57757.22688;31986.66894;67157.91285;37020.50314;51063.82557;58071.26678;48718.53183;52300.60289;-3582.071059;0.931509947;0.822577671
gene-LOC117903536;0;2.87E-11;1359.405232;1468.890721;1152.601285;1502.781001;1778.816056;1357.046671;1546.214576;1326.965746;219.2488298;1.165225689;1706.875835;2099.891774;1796.480891;1730.879731;1733.178527;1844.330075;1769.462778;1867.7495;-98.28672195;0.947376925;0.813041571
gene-LOC117890579;0;6.32E-11;1960.004526;1589.907286;1611.848643;2203.431051;1907.20164;1774.759352;1961.797348;1720.586818;241.2105293;1.14019085;3427.026141;2160.928315;2198.79701;2399.492869;2195.21752;2439.797384;2344.835924;2595.583822;-250.7478981;0.903394413;0.792318596
gene-LOC117897864;0;6.76E-11;7077.305831;7436.259273;8507.532392;6084.535718;5806.06912;7385.825219;6425.476686;7673.699165;-1248.222479;0.83733758;4729.030585;5657.617859;5413.34264;5206.301787;5774.422806;7326.207228;6102.310607;5266.663695;835.6469123;1.158667225;1.383751611
gene-LOC117897942;0;8.07E-11;2038.131264;2913.786777;2313.172156;1738.130324;2322.765505;2049.078128;2036.657986;2421.696732;-385.0387468;0.841004556;1871.700526;1951.995539;1829.343346;1648.904174;1976.973295;1662.878664;1762.918711;1884.346471;-121.4277596;0.935559749;1.112431249
gene-LOC117895424;0;8.89E-11;7036.289293;6634.002906;6978.368197;7469.642058;7133.001705;7788.990693;7463.878152;6882.886799;580.9913527;1.084410999;8727.965221;8749.353428;8131.963943;9736.305227;9149.223745;9767.708381;9551.079118;8536.42753;1014.651588;1.118861384;1.031768752
gene-LOC117897565;0;2.95E-10;1353.545727;1238.333299;1366.783892;1134.642839;1094.656034;1187.675609;1138.991494;1319.554306;-180.5628122;0.863163788;1194.702464;1304.069179;1282.631589;1208.285555;1260.493474;1297.420187;1255.399739;1260.467744;-5.068005311;0.995979266;1.153870539
gene-LOC117899557;0;6.75E-10;1091.821156;1234.160314;1225.323752;1262.033757;1354.805771;1474.46342;1363.767649;1183.768407;179.9992417;1.152056129;1579.662146;1029.404743;1243.794142;1131.43347;1148.709847;1273.567419;1184.570245;1284.287011;-99.71676527;0.922356323;0.800617522
gene-LOC117893129;0;7.71E-10;3738.364388;4893.868161;4519.751108;4078.668549;5432.737356;4760.054211;4757.153372;4383.994552;373.1588197;1.08511845;5289.87702;6721.062212;6222.954039;6182.323263;6093.804598;6607.216658;6294.448173;6077.964423;216.4837499;1.035617805;0.954382266
gene-LOC117891888;0;7.78E-10;2057.662948;1964.43269;1780.206134;1645.286096;1693.507214;1585.645651;1641.479653;1934.100591;-292.6209373;0.848704386;1709.088247;2047.07169;1923.947384;1891.415197;1844.962154;1888.628073;1875.001808;1893.369107;-18.36729898;0.990299145;1.166836371
gene-LOC117899307;0;1.04E-09;697.2811319;845.0294628;1010.144947;535.4736899;728.9260476;869.7152094;711.371649;850.8185138;-139.4468649;0.836102691;1023.240536;698.3988851;874.3404778;837.6877239;592.9855278;891.0712512;773.9148343;865.326633;-91.41179865;0.89436151;1.069679024
