Gene;(Intercept);Generation ;Selection;Generation:Selection;meanWPT9DIVmeanPT9;meanWPT23DIVmeanPT23;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;C_PT1_G9_C;W_PT1_G9_C;W_PT2_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT3_G9_C;meanWPT9;meanPT9
gene-LOC117896238;0;1.24E-18;0.011624425;0.000476521;0.91935024;1.684478617;52.29533229;54.26658748;44.26430161;68.85108531;113.2475894;71.96487016;150.8674324;137.9311536;107.2314277;142.4970931;144.7766958;157.6426557;134.2684123;146.0470738
gene-LOC117901237;0;1.83E-15;0.052865204;0.000485675;0.79018288;1.069720863;142.2433038;161.6922811;135.6182858;160.9193971;161.3527601;147.9277887;251.4457206;192.1991485;195.5396622;240.4638447;230.3745962;182.9977681;190.2455263;240.7613871
gene-LOC117900964;0;0.00019181;0.734103971;0.000508049;0.951950749;1.064765219;2584.435322;2793.068033;2329.0557;2685.192327;3132.849242;2387.63447;3038.901138;2762.014822;3087.183792;3088.17919;2525.666444;2387.790155;2745.662923;2884.248924
gene-LOC117897553;0;0.859678317;0.597117865;0.000512088;0.905479695;1.0753119;1489.371064;1372.169426;1342.055953;1530.735757;1533.352316;1456.089206;1597.963212;1495.761608;1251.634059;1379.327331;1587.259832;1385.712015;1377.702561;1521.516792
gene-LOC117889760;0;0.238425246;0.269666595;0.00051341;1.071185205;0.965026625;2625.225681;2495.155543;2427.00224;2483.442635;2440.335222;2359.648131;2431.326172;2749.578406;2412.256571;2411.317998;2198.069541;2380.073382;2513.969453;2346.90457
gene-LOC117893601;0.180629712;0.832815799;0.401132305;0.000518377;0.07112953;5.020826985;1.045906646;1.107481377;0;0.800594015;6.013146338;3.998048342;6.157854382;1.130583226;0;4.453034161;5.283821013;0;0.376861075;5.298236519
gene-LOC117895197;0;0.421605105;8.50E-05;0.000535902;0.985717858;0.800453117;1319.934187;996.7332394;1002.068445;951.10569;829.8141947;875.5725869;1034.519536;1024.308403;896.5989121;865.0018857;1016.607163;953.5727074;958.1600075;972.0428616
gene-LOC117891959;0;0.000314278;0.000624835;0.000564135;0.998564751;0.783849543;2041.609773;1683.371693;1566.202842;1653.226641;1227.684044;1266.581715;2183.985688;2036.180391;1882.407163;1585.280161;1572.465133;1415.476713;1778.021422;1780.576994
gene-LOC117896543;0;1.38E-11;0.138311175;0.000570583;1.04670549;0.891746415;6953.187382;6506.453091;6899.58029;6461.594297;5898.896558;5794.771267;5144.887336;5475.414565;5959.904728;5607.483267;5306.013061;5373.079047;5602.799447;5352.794555
gene-LOC117893953;0;1.28E-05;0.94599048;0.000576695;0.931607471;1.07723018;5551.672476;5422.228823;5258.975749;5953.217097;5742.554753;5790.773219;6831.113128;6540.423964;5358.868071;6268.75884;6070.05358;5959.553822;5952.948619;6389.975182
gene-LOC117899288;0;4.16E-08;0.8863554;0.000592841;0.811654796;1.247292218;6275.439875;10121.27231;10034.81136;7975.517579;13653.85095;11338.4651;7133.874302;4094.972446;6483.446405;7620.254708;7613.98608;7576.769038;6051.729296;7456.038363
gene-LOC117902309;0;0.03175875;0.572979377;0.000615881;1.112890929;0.856963201;1350.26548;1008.915535;1257.294525;1051.179942;1049.294036;998.7124758;1128.93997;1241.380383;1011.039175;902.8526761;902.476629;1013.102102;1088.50722;978.0897584
gene-LOC117901503;0;5.99E-09;0.002774475;0.000722901;0.79726401;1.013927275;292.8538608;273.5479002;312.6754923;292.2168155;297.6507437;301.452845;276.0771381;224.986062;202.7484977;220.425191;309.6319114;214.9672577;214.2339392;268.7114135
gene-LOC117893970;0;1.40E-38;0.263966008;0.000800045;1.113151994;0.819176136;665.1966268;744.2274854;678.091429;511.5795757;616.3474997;582.1158386;902.125667;895.4219153;1509.349927;1289.15339;1067.331845;1222.557379;1209.10974;1086.203634
gene-LOC117900638;0;0.427478227;0.384833387;0.000814781;0.887058912;1.071564201;1132.716897;1145.135744;1354.299271;1286.554582;1271.780451;1333.748927;1371.148909;1185.981804;1135.391587;1166.69495;1365.33935;1140.98006;1154.117817;1301.06107
gene-LOC117903892;0;0.870223092;0.529791567;0.000821041;0.914055465;1.140727135;1010.34582;1274.711065;1239.400445;1352.203292;1324.896577;1343.344243;1292.123111;1061.61765;1350.755547;1320.324629;1347.374358;1207.123832;1206.499009;1319.940699
gene-LOC117899518;0;4.66E-08;0.001368944;0.000823274;1.004223479;0.854155396;6901.937956;5743.398422;5973.797131;5364.780496;5308.606026;5230.246841;5575.937143;5733.187541;4760.534726;4939.528143;4612.775744;4698.412577;5064.044948;5042.74701
gene-LOC117902693;0.001062984;0.923580279;0.717700301;0.000841244;1.882779625;0.467143779;2.091813292;21.04214617;23.54484128;2.401782046;5.010955282;14.39297403;1.026309064;1.130583226;14.41767095;14.47236102;7.397349418;27.55990484;14.36938634;7.632006501
gene-LOC117897120;0;0.298523218;0.950274514;0.000855009;0.905962986;1.107960926;790.7054243;732.0451903;756.260302;914.2783653;808.7681825;802.0084974;828.2314144;684.0028519;795.6752155;760.3555829;853.8654757;733.0934687;737.590512;814.1508243
gene-LOC117892152;0;1.06E-19;4.45E-07;0.000884225;0.984577809;0.92727487;14629.09626;14650.87114;14596.8598;13349.9052;13804.17961;13531.79442;12884.28399;13351.05732;12709.17694;13182.09437;13166.2252;12567.31661;12875.85029;13077.53452
gene-LOC117893989;0;0.88357584;0.149108369;0.000884878;1.713508955;0.808475013;42.88217248;25.47207167;33.90457145;20.81544439;33.07230486;28.78594806;24.63141753;46.35391228;27.93423746;22.2651708;22.19204825;44.09584774;39.46133249;23.02954553
gene-LOC117899573;0;7.22E-10;0.398608015;0.000895618;1.085562454;0.871827364;5019.305993;4438.78536;5248.616019;4308.79699;4063.884734;4449.028195;3823.001262;4351.614838;3732.374567;3611.410704;3335.147823;3607.040345;3897.009917;3589.853263
gene-LOC117900785;0;0.000215475;0.999731164;0.000937658;1.137909697;0.878781223;588.8454416;476.2169922;533.9970003;462.7433408;501.0955282;441.384537;587.0487844;577.7280287;597.4322399;519.8917383;516.7576951;672.4616781;615.8739822;541.2327392
gene-LOC117901076;4.59E-107;1.03E-08;3.80E-07;0.00094745;0.79150443;0.182461693;78.44299844;84.16858466;187.4169366;20.81544439;27.05915852;15.99219337;157.0252867;67.83499358;77.49498135;115.7788882;267.3613433;282.2134255;142.5144668;180.0551727
gene-LOC117899070;0;1.85E-07;0.600919878;0.000953233;0.907321426;1.157063681;986.289967;1189.434999;1032.205842;1200.090429;1464.201133;1047.488666;1513.805869;1416.620783;1485.921212;1540.74982;1331.522895;1077.041081;1326.527692;1462.026195
gene-LOC117900622;1.44E-08;0.85108321;0.38518092;0.000963829;0.523995272;3.027408246;3.137719938;0;5.650761908;4.803564091;5.010955282;16.79180304;7.184163446;4.522332905;2.703313303;4.453034161;10.56764203;4.409584774;3.878410327;7.401613211
gene-LOC117894381;0;0.030782262;0.0748064;0.000966612;1.357455429;0.912570285;123.4169842;107.4256936;155.3959525;130.4968245;105.2300609;116.7430116;99.55197918;122.1029884;135.1656651;81.26787343;97.22230664;120.1611851;125.8099462;92.68071975
gene-LOC117903228;0.001165969;0.40811487;0.115805486;0.000974196;5.783283362;0.541418074;3.137719938;8.859851017;0.941793651;0.800594015;3.006573169;3.198438674;0;2.261166453;13.51656651;2.22651708;3.170292608;15.43354671;10.40375989;1.798936563
gene-LOC117890952;0;6.19E-23;0.069247486;0.000979688;1.033795536;0.891901286;720.629679;965.7237609;892.8203815;674.1001608;845.8492516;780.4190364;498.786205;504.2401189;783.9608578;746.9964805;671.0452686;693.4072057;660.5360608;638.9426513
