Gene;(Intercept);Selection;C_PT1_G9_C;C_PT2_G9_C;C_PT3_G9_C;W_PT1_G9_C;W_PT2_G9_C;W_PT3_G9_C;meanWPT9;meanPT9;WPT-PT;meanWPT9DIVmeanPT9;C_PT1_G23_C;C_PT2_G23_C;C_PT3_G23_C;W_PT1_G23_C;W_PT2_G23_C;W_PT3_G23_C;meanWPT23;meanPT23;WPT23-PT23;meanWPT23DIVmeanPT23
gene-LOC117890283;0;7.96E-31;705.0938057;644.7261828;706.3045042;654.2279357;715.4117755;609.9436415;659.8611176;685.3748309;35.92642339;0.962774073;825.2296647;775.8683412;765.7947921;860.7433494;765.4516957;848.4770231;824.8906894;788.964266;35.92642339;1.045536186
gene-LOC117898426;0;8.07E-31;3840.905731;3777.594673;3335.271481;4094.86231;3122.641481;3807.2121;3674.905297;3651.257295;688.8057495;1.006476674;3660.435604;4156.353701;4060.00698;4410.455753;4724.721315;4808.036464;4647.737844;3958.932095;688.8057495;1.173987766
gene-LOC117896976;0;9.57E-31;2234.424692;1968.605675;1794.152908;2168.884361;2048.256854;2360.804009;2192.648408;1999.061092;606.2597741;1.09683912;3318.617955;3682.146727;3286.245532;4044.981395;4269.069958;3791.738183;4035.263178;3429.003404;606.2597741;1.176803491
gene-LOC117901799;0;1.29E-30;4045.011833;1903.924407;2561.225501;3700.814131;2010.247964;2426.266444;2712.442847;2836.72058;646.8444866;0.956189646;4952.484194;4381.719392;3905.653023;5783.546334;4888.670635;4508.173099;5060.130023;4413.285536;646.8444866;1.146567559
gene-LOC117902443;0;7.31E-28;3767.661915;5335.161325;5030.80077;3592.855726;6536.684452;5393.896836;5174.479005;4711.208003;-685.1138884;1.098333803;3574.151537;3435.653003;3527.236871;2765.821139;2953.216973;2762.661633;2827.233248;3512.347137;-685.1138884;0.804941294
gene-LOC117892504;0;7.37E-28;120.1198589;546.6610352;158.3955094;174.8926165;80.24099017;213.0126857;156.0487641;275.0588012;251.5482954;0.567328744;907.0889076;545.807532;527.790949;1215.116851;791.0022391;729.2131845;911.777425;660.2291296;251.5482954;1.38100151
gene-LOC117891856;0;1.24E-27;723.6489058;489.2824914;405.4526562;491.2107438;763.5563696;322.1167442;525.6279525;539.4613511;-151.0320119;0.974357016;436.951364;374.4357048;257.9204826;237.3875507;220.3734367;158.4505284;205.4038386;356.4358505;-151.0320119;0.576271546
gene-LOC117891646;0;1.46E-27;141354.7061;112212.6099;126865.8373;116668.4894;128302.8094;110656.4534;118542.584;126811.0511;7351.575533;0.934796952;106286.4834;108270.6077;99571.24795;115372.0575;114506.8894;106304.1188;112061.0219;104709.4463;7351.575533;1.070209287
gene-LOC117902110;0;1.13E-26;243640.184;169520.213;220997.5988;194149.1572;221037.744;234845.9664;216677.6226;211385.9986;15163.06921;1.025032992;162623.3418;176483.6376;153707.6618;175446.4782;196491.1309;166366.2398;179434.6163;164271.5471;15163.06921;1.092304903
gene-LOC117895093;0;1.17E-26;508.8003778;974.3919979;780.023169;419.9581963;644.4618474;914.3959191;659.6053209;754.4051815;-251.3759783;0.87433827;586.289172;627.9721068;1065.540218;375.7213033;391.7749986;758.1772596;508.5578539;759.9338322;-251.3759783;0.669213335
